line_row,original_index,from_bus,to_bus,From,To,state_label
1,1,1001,1201,1,10,X1#10
2,2,1001,1202,1,11,X1#11
3,3,1002,1004,2,4,X2#4
4,4,1002,1102,2,8,X2#8
5,5,1002,6506,2,227,X2#227
6,6,1004,7001,4,233,X4#233
7,7,1004,7002,4,234,X4#234
8,8,1101,1401,7,18,X7#18
9,9,1201,1202,10,11,X10#11
10,10,1201,1402,10,19,X10#19
11,11,1201,2901,10,80,X10#80
12,12,1202,1302,11,14,X11#14
13,13,1202,1402,11,19,X11#19
14,14,1301,1302,13,14,X13#14
15,15,1301,1402,13,19,X13#19
16,16,1301,2603,13,56,X13#56
17,17,1301,2901,13,80,X13#80
18,18,1303,6507,15,228,X15#228
19,19,1401,1402,18,19,X18#19
20,20,1401,2301,18,30,X18#30
21,21,1401,2400,18,33,X18#33
22,22,1403,2100,20,24,X20#24
23,23,2000,2202,22,27,X22#27
24,24,2000,2302,22,31,X22#31
25,25,2100,2302,24,31,X24#31
26,26,2201,2301,26,30,X26#30
27,27,2202,2203,27,28,X27#28
28,28,2202,2503,27,51,X27#51
29,29,2203,2503,28,51,X28#51
30,30,2400,2403,33,36,X33#36
31,31,2401,2402,34,35,X34#35
32,32,2401,2404,34,37,X34#37
33,33,2401,2501,34,49,X34#49
34,34,2401,2603,34,56,X34#56
35,35,2401,2901,34,80,X34#80
36,36,2401,2902,34,81,X34#81
37,37,2402,2501,35,49,X35#49
38,38,2403,2501,36,49,X36#49
39,39,2404,3893,37,125,X37#125
40,40,2404,3895,37,127,X37#127
41,41,2404,3897,37,129,X37#129
42,42,2405,2406,38,39,X38#39
43,43,2405,2410,38,43,X38#43
44,44,2406,2408,39,41,X39#41
45,45,2406,2410,39,43,X39#43
46,46,2407,2408,40,41,X40#41
47,47,2408,2409,41,42,X41#42
48,48,2408,2411,41,44,X41#44
49,49,2408,2502,41,50,X41#50
50,50,2409,2502,42,50,X42#50
51,51,2409,2503,42,51,X42#51
52,52,2410,2411,43,44,X43#44
53,53,2502,2503,50,51,X50#51
54,54,2600,2601,53,54,X53#54
55,55,2600,2602,53,55,X53#55
56,56,2600,2603,53,56,X53#56
57,57,2601,2603,54,56,X54#56
58,58,2603,2901,56,80,X56#80
59,59,2604,6404,57,220,X57#220
60,60,2604,6504,57,225,X57#225
61,61,2605,2607,58,60,X58#60
62,62,2606,2607,59,60,X59#60
63,63,2608,2611,61,64,X61#64
64,64,2608,2612,61,65,X61#65
65,65,2608,2618,61,71,X61#71
66,66,2608,2619,61,72,X61#72
67,67,2609,2615,62,68,X62#68
68,68,2609,2617,62,70,X62#70
