state_index,bus_id,component
1,1001,1
2,1002,2
3,1003,3
4,1004,2
5,1032,4
6,1034,5
7,1101,1
8,1102,2
9,1131,6
10,1201,1
11,1202,1
12,1232,7
13,1301,1
14,1302,1
15,1303,2
16,1331,8
17,1333,9
18,1401,1
19,1402,1
20,1403,10
21,1431,11
22,2000,10
23,2030,12
24,2100,10
25,2130,13
26,2201,1
27,2202,10
28,2203,10
29,2233,14
30,2301,1
31,2302,10
32,2332,15
33,2400,1
34,2401,1
35,2402,1
36,2403,1
37,2404,1
38,2405,10
39,2406,10
40,2407,10
41,2408,10
42,2409,10
43,2410,10
44,2411,10
45,2431,16
46,2434,17
47,2438,18
48,2439,19
49,2501,1
50,2502,10
51,2503,10
52,2533,20
53,2600,1
54,2601,1
55,2602,1
56,2603,1
57,2604,2
58,2605,21
59,2606,21
60,2607,21
61,2608,22
62,2609,22
63,2610,22
64,2611,22
65,2612,22
66,2613,22
67,2614,22
68,2615,22
69,2616,22
70,2617,22
71,2618,22
72,2619,22
73,2620,22
74,2621,23
75,2630,24
76,2631,25
77,2634,26
78,2637,27
79,2638,28
80,2901,1
81,2902,1
82,3101,29
83,3102,29
84,3103,29
85,3104,30
86,3105,30
87,3133,31
88,3135,32
89,3201,29
90,3202,29
91,3203,29
92,3204,29
93,3205,29
94,3234,33
95,3301,1
96,3302,29
97,3303,29
98,3304,29
99,3305,29
100,3333,34
101,3401,29
102,3402,29
103,3403,29
104,3404,29
105,3405,29
106,3432,35
107,3433,36
108,3501,29
109,3531,37
110,3601,38
111,3631,39
112,3701,40
113,3731,41
114,3801,1
115,3802,1
116,3803,1
117,3804,29
118,3805,29
119,3806,29
120,3831,42
121,3835,43
122,3836,44
123,3891,1
124,3892,1
125,3893,1
126,3894,1
127,3895,1
128,3896,1
129,3897,1
130,3901,1
131,3902,1
132,3903,1
133,3904,1
134,3905,1
135,3906,1
136,3907,29
137,3908,29
138,3909,29
139,3910,29
140,3911,29
141,3912,29
142,3913,29
143,3914,29
144,3915,29
145,3916,29
146,3917,29
147,3918,29
148,3919,29
149,3920,29
150,3921,29
151,3922,29
152,3923,29
153,3924,29
154,3925,38
155,3926,40
156,3931,45
157,3932,46
158,3933,47
159,4001,1
160,4002,1
161,4003,1
162,4004,1
163,4005,1
164,4006,1
165,4007,1
166,4008,2
167,4009,48
168,4010,48
169,4031,49
170,4035,50
171,4039,51
172,4090,1
173,4091,1
174,4092,1
175,4093,1
176,4094,1
177,4095,1
178,4096,1
179,4097,1
180,4101,1
181,4102,1
182,4103,1
183,4104,48
184,4131,52
185,4132,53
186,4201,1
187,4202,1
188,4203,1
189,4204,1
190,4231,54
191,4232,55
192,5001,1
193,5002,1
194,5003,48
195,5004,48
196,5031,56
197,5032,57
198,6101,1
199,6102,2
200,6103,2
201,6104,58
202,6132,59
203,6201,1
204,6202,1
205,6203,58
206,6204,58
207,6205,58
208,6231,60
209,6235,61
210,6301,2
211,6302,2
212,6303,58
213,6304,58
214,6305,58
215,6333,62
216,6335,63
217,6401,2
218,6402,64
219,6403,2
220,6404,2
221,6433,65
222,6501,2
223,6502,2
224,6503,2
225,6504,2
226,6505,2
227,6506,2
228,6507,2
229,6508,2
230,6509,2
231,6510,58
232,6533,66
233,7001,2
234,7002,2
235,7031,67
236,7032,68
237,8001,1
238,8002,1
239,8003,29
240,8004,29
241,8005,29
242,8033,69
243,8034,70
