index,f_bus,t_bus,br_x,rate_a
1,1001,1201,0.03169,4.0
2,1001,1202,0.0965,4.0
3,1002,1004,0.0053,4.0
4,1002,1102,0.01988,4.0
5,1002,6506,0.0436,4.0
6,1004,7001,0.27403,4.0
7,1004,7002,0.11,4.0
8,1101,1401,0.0211,4.0
9,1201,1202,0.00536,4.0
10,1201,1402,0.02592,4.0
11,1201,2901,0.01369,4.0
12,1202,1302,0.0211,4.0
13,1202,1402,0.03489,4.0
14,1301,1302,0.0211,4.0
15,1301,1402,0.0211,4.0
16,1301,2603,0.02524,4.0
17,1301,2901,0.0965,4.0
18,1303,6507,0.1369,4.0
19,1401,1402,0.0096,4.0
20,1401,2301,0.02967,4.0
21,1401,2400,0.02967,4.0
22,1403,2100,0.07034,4.0
23,2000,2202,0.05399,4.0
24,2000,2302,0.05399,4.0
25,2100,2302,0.07034,4.0
26,2201,2301,0.02524,4.0
27,2202,2203,0.02886,4.0
28,2202,2503,0.02886,4.0
29,2203,2503,0.02886,4.0
30,2400,2403,0.00905,4.0
31,2401,2402,0.00753,4.0
32,2401,2404,0.01125,4.0
33,2401,2501,0.0128,4.0
34,2401,2603,0.0041,4.0
35,2401,2901,0.02779,4.0
36,2401,2902,0.031,4.0
37,2402,2501,0.00457,4.0
38,2403,2501,0.0093,4.0
39,2404,3893,0.00935,4.0
40,2404,3895,0.00935,4.0
41,2404,3897,0.0084,4.0
42,2405,2406,0.0264,4.0
43,2405,2410,0.01187,4.0
44,2406,2408,0.0258,4.0
45,2406,2410,0.07034,4.0
46,2407,2408,0.0127,4.0
47,2408,2409,0.05399,4.0
48,2408,2411,0.0395,4.0
49,2408,2502,0.02886,4.0
50,2409,2502,0.02886,4.0
51,2409,2503,0.02886,4.0
52,2410,2411,0.03649,4.0
53,2502,2503,0.02886,4.0
54,2600,2601,0.01861,4.0
55,2600,2602,0.01668,4.0
56,2600,2603,0.00159,4.0
57,2601,2603,0.01884,4.0
58,2603,2901,0.02524,4.0
59,2604,6404,0.0965,4.0
60,2604,6504,0.0245,4.0
61,2605,2607,0.07905,4.0
62,2606,2607,0.07905,4.0
63,2608,2611,0.03346,4.0
64,2608,2612,0.038,4.0
65,2608,2618,0.04677,4.0
66,2608,2619,0.03422,4.0
67,2609,2615,0.00723,4.0
68,2609,2617,0.00536,4.0
69,2610,2613,0.03422,4.0
70,2610,2616,0.03074,4.0
71,2610,2617,0.04296,4.0
72,2611,2612,0.00434,4.0
73,2612,2615,0.01583,4.0
74,2612,2618,0.00967,4.0
75,2612,2619,0.00393,4.0
76,2612,2620,0.01116,4.0
77,2613,2616,0.00366,4.0
78,2613,2617,0.00586,4.0
79,2614,2616,0.01025,4.0
80,2615,2617,0.01244,4.0
81,2615,2620,0.00979,4.0
82,2616,2617,0.01189,4.0
83,2901,2902,0.01415,4.0
84,3101,3102,0.0127,4.0
85,3102,3103,0.0127,4.0
86,3102,3302,0.0127,4.0
87,3103,3204,0.0127,4.0
88,3103,3305,0.0127,4.0
89,3104,3105,0.02886,4.0
90,3201,3202,0.0127,4.0
91,3201,3203,0.0127,4.0
92,3201,3923,0.02886,4.0
93,3201,3924,0.0127,4.0
94,3202,3203,0.0127,4.0
95,3202,3204,0.0127,4.0
96,3202,3205,0.0127,4.0
97,3202,3924,0.02886,4.0
98,3203,3204,0.0127,4.0
99,3203,3303,0.0127,4.0
100,3203,3305,0.0127,4.0
101,3203,3923,0.02886,4.0
102,3204,3205,0.0127,4.0
103,3204,3923,0.02886,4.0
104,3205,3914,0.02886,4.0
105,3205,3915,0.02886,4.0
106,3301,3902,0.01297,4.0
107,3301,3903,0.00881,4.0
108,3302,3304,0.0127,4.0
109,3303,3304,0.0127,4.0
110,3303,3918,0.02886,4.0
111,3305,3923,0.02886,4.0
112,3401,3402,0.02886,4.0
113,3401,3404,0.02886,4.0
114,3401,3405,0.02886,4.0
115,3401,3804,0.02886,4.0
116,3403,3404,0.02886,4.0
117,3403,3804,0.02886,4.0
118,3404,3804,0.02886,4.0
119,3404,3917,0.02886,4.0
120,3404,3918,0.02886,4.0
121,3405,3907,0.02886,4.0
122,3501,3914,0.02886,4.0
123,3501,3915,0.02886,4.0
124,3601,3925,0.02886,4.0
125,3701,3926,0.02886,4.0
126,3801,3802,0.01937,4.0
127,3801,3803,0.02087,4.0
128,3802,3891,0.016,4.0
129,3802,3901,0.01985,4.0
130,3803,3891,0.00998,4.0
131,3803,3892,0.00935,4.0
132,3803,3894,0.00944,4.0
133,3803,3896,0.00935,4.0
134,3803,3901,0.0147,4.0
135,3804,3806,0.02886,4.0
136,3805,3806,0.02886,4.0
137,3892,3893,0.02659,4.0
138,3894,3895,0.02662,4.0
139,3896,3897,0.02517,4.0
140,3901,3902,0.01297,4.0
141,3901,3903,0.03644,4.0
142,3901,8002,0.01585,4.0
143,3903,3904,0.00359,4.0
144,3903,3905,0.01035,4.0
145,3903,8002,0.05719,4.0
146,3904,3905,0.01229,4.0
147,3905,3906,0.00346,4.0
148,3906,4001,0.00456,4.0
149,3907,3908,0.02886,4.0
150,3907,3923,0.02886,4.0
151,3907,8004,0.09268,4.0
152,3908,3920,0.02886,4.0
153,3909,3919,0.02886,4.0
154,3909,3920,0.02886,4.0
155,3910,3911,0.16938,4.0
156,3910,3924,0.10101,4.0
157,3911,3912,0.09268,4.0
158,3911,3916,0.11381,4.0
159,3911,3921,0.06678,4.0
160,3911,3924,0.27403,4.0
161,3911,8003,0.09268,4.0
162,3912,3924,0.2046,4.0
163,3913,3920,0.02886,4.0
164,3913,3923,0.02886,4.0
165,3913,8004,0.09268,4.0
166,3915,3924,0.02886,4.0
167,3916,3924,0.16106,4.0
168,3919,3922,0.02886,4.0
169,3920,3922,0.02886,4.0
170,3923,8005,0.09268,4.0
171,4001,4090,0.01382,4.0
172,4001,4094,0.01502,4.0
173,4001,4097,0.01413,4.0
174,4001,4204,0.00239,4.0
175,4001,8001,0.01293,4.0
176,4002,4003,0.02373,4.0
177,4002,4090,0.00238,4.0
178,4002,4091,0.01036,4.0
179,4003,6101,0.02689,4.0
180,4004,4005,0.01412,4.0
181,4004,4091,0.00737,4.0
182,4004,4092,0.01266,4.0
183,4004,4095,0.01266,4.0
